['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', '_9,\\i', '2021-08-01', '2021-09-25', '27', '6.15', '-5.84', 48, '48', '1.83', '8.13', '3', '4', 403, -305, '13', '14', '15.62']
['ETH-USD', '5m', 'kHPOm', '2021-08-01', '2021-09-25', '25', '5.06', '-9.44', 38, '44', '1.12', '4.02', '3', '3', 662, -326, '11', '14', '15.62']
['ETH-USD', '5m', 'Bn3VI', '2021-08-01', '2021-09-25', '40', '-1.18', '-14.31', -7, '25', '0.02', '-0.52', '2', '8', 753, -307, '10', '30', '15.62']
['ETH-USD', '5m', 'VUhV4', '2021-08-01', '2021-09-25', '42', '-5.26', '-11.82', -30, '26', '-0.72', '-2.51', '2', '11', 634, -277, '11', '31', '15.62']
['ETH-USD', '5m', 'N@QVB', '2021-08-01', '2021-09-25', '60', '5.62', '-14.11', 43, '37', '1.12', '3.03', '3', '8', 845, -248, '22', '38', '15.62']
['ETH-USD', '5m', 'NPhHB', '2021-08-01', '2021-09-25', '44', '8.81', '-10.91', 73, '39', '1.67', '6.73', '4', '6', 900, -348, '17', '27', '15.62']
['ETH-USD', '5m', 'NPhVB', '2021-08-01', '2021-09-25', '44', '8.81', '-10.91', 73, '39', '1.67', '6.73', '4', '6', 900, -348, '17', '27', '15.62']
['ETH-USD', '5m', '<cJgI', '2021-08-01', '2021-09-25', '42', '5.85', '-10.38', 45, '31', '1.16', '4.32', '3', '5', 864, -376, '13', '29', '15.62']
['ETH-USD', '5m', '<sjVI', '2021-08-01', '2021-09-25', '41', '2.93', '-13.15', 21, '27', '0.68', '1.57', '2', '8', 673, -196, '11', '30', '15.62']
['ETH-USD', '5m', '9cV4I', '2021-08-01', '2021-09-25', '44', '6.14', '-10.46', 47, '30', '1.18', '4.54', '2', '7', 758, -391, '13', '31', '15.62']
